symbol,date,open,high,low,close,volume
ALBUS,2026-01-02,521.3455297914398,524.0357885723106,517.4078025174556,520.0915906939481,0
ALBUS,2026-01-05,526.8420259499954,531.3365907610535,523.3355777049676,527.8236094914814,0
ALBUS,2026-01-06,535.8506929873604,536.7742578174767,533.9536572311998,534.8755413398437,0
ALBUS,2026-01-07,533.7890357108608,535.4438371643299,530.1265702541968,531.7751283857807,0
ALBUS,2026-01-08,530.5156144013891,534.5431970740759,525.9058755606617,529.929004794801,0
ALBUS,2026-01-09,525.8679765817158,529.2971222018417,523.3334500629346,526.758304568194,0
ALBUS,2026-01-12,532.4171868992224,536.2292033650101,526.1694050564668,529.9638560911101,0
ALBUS,2026-01-13,527.5458346723757,533.2827702839838,523.8083367591695,529.5312066288901,0
ALBUS,2026-01-14,534.5990234107995,539.2203955238446,529.1784462457827,533.792849340548,0
ALBUS,2026-01-15,522.9253608633261,526.9375669655707,518.9387253146435,522.9507379491391,0
ALBUS,2026-01-16,530.0290840222989,536.2074860068976,525.7708395305903,531.9339379516737,0
ALBUS,2026-01-19,533.2072709513805,536.2874266461547,528.1947943321505,531.2637228153217,0
ALBUS,2026-01-20,535.7061765117685,538.1722622067364,532.684148197243,535.147662813695,0
ALBUS,2026-01-21,532.3674514601096,536.6612661659343,529.9521629155311,534.2374934606331,0
ALBUS,2026-01-22,532.868116768687,535.5451993585749,529.2356658564496,531.9079245248871,0
ALBUS,2026-01-23,533.825481374576,536.5168538342043,531.8287916276468,534.5175754190105,0
ALBUS,2026-01-26,536.2012409891709,541.9248738358164,533.5711133994448,539.2796463205855,0
ALBUS,2026-01-27,536.8601209372742,541.1001884781145,533.7383534760263,537.9719558503946,0
ALBUS,2026-01-28,537.3857214315849,540.8804611063546,533.4691920235492,536.9611707501748,0
ALBUS,2026-01-29,541.9500081616497,544.8343844777312,538.0395319953082,540.9184179630328,0
ALBUS,2026-01-30,535.9234283060008,537.0770754424177,534.5042957105541,535.6573701210048,0
ALBUS,2026-02-02,526.774197582948,529.8586891777313,523.6187582468157,526.7028319649263,0
ALBUS,2026-02-03,529.6361602557603,533.0526797720368,525.4787314811965,528.8904405899077,0
ALBUS,2026-02-04,524.5663656098517,529.186459735524,520.2812085736427,524.898588784418,0
ALBUS,2026-02-05,515.6385204211991,519.3282893120067,510.1474902184848,513.8242768763383,0
ALBUS,2026-02-06,509.36893056443785,511.76952451091404,506.74236755576254,509.14189149465903,0
ALBUS,2026-02-09,506.87506134810025,509.18258313955783,504.1230216931214,506.42851058595517,0
ALBUS,2026-02-10,500.5357500266241,505.55171640451186,494.7171560314898,499.7249977022015,0
ALBUS,2026-02-11,489.93086699587167,495.18232675381506,486.2498812162691,491.4896295609857,0
ALBUS,2026-02-12,490.5434747098148,496.3395893965986,485.80341215282044,491.5894199961863,0
ALBUS,2026-02-13,498.64222398755203,503.75773924528835,491.27385586377426,496.36601979521794,0
ALBUS,2026-02-16,495.4936633651151,497.65591479949484,492.8356556959116,494.99573425095724,0
ALBUS,2026-02-17,490.44904051366893,494.1886416440264,487.12843635130423,490.86521972425004,0
